id_paczki,data_dostawy,gabaryt,wysokosc_cm,szerokosc_cm,dlugosc_cm,waga_kg,miasto_docelowe,id_paczkomatu
ZG-050400100,2026-05-04,A,3,34,53,2.7,Zielona Góra,ZG-18
SZP-050400101,2026-05-04,B,12,12,44,7.0,Szprotawa,SZP-02
ZAR-050400102,2026-05-04,C,33,13,23,4.6,Żary,ZAR-14
ZGN-050400103,2026-05-04,B,9,31,14,2.3,Żagań,ZGN-02
ZG-050400104,2026-05-04,B,15,11,25,5.1,Zielona Góra,ZG-27
ZGN-050400105,2026-05-04,B,10,22,42,7.5,Żagań,ZGN-09
ZG-050400106,2026-05-04,A,2,37,30,1.5,Zielona Góra,ZG-20
ZG-050400107,2026-05-04,C,25,36,28,7.6,Zielona Góra,ZG-34
ZG-050400108,2026-05-04,A,4,32,5,2.8,Zielona Góra,ZG-09
ZG-050400109,2026-05-04,B,11,23,57,3.4,Zielona Góra,ZG-17
ZG-050400110,2026-05-04,A,1,12,14,0.4,Zielona Góra,ZG-22
ZG-050400111,2026-05-04,B,16,15,50,5.2,Zielona Góra,ZG-04
ZG-050400112,2026-05-04,A,8,10,34,1.2,Zielona Góra,ZG-14
ZG-050400113,2026-05-04,A,7,20,3,0.5,Zielona Góra,ZG-40
SZP-050400114,2026-05-04,B,17,2,32,9.4,Szprotawa,SZP-03
ZGN-050400115,2026-05-04,B,17,35,34,3.7,Żagań,ZGN-10
ZG-050400116,2026-05-04,C,21,7,58,8.4,Zielona Góra,ZG-07
ZAR-050400117,2026-05-04,B,14,28,3,4.9,Żary,ZAR-12
ZG-050400118,2026-05-04,A,2,38,42,0.9,Zielona Góra,ZG-37
KOZ-050400119,2026-05-04,C,37,27,47,6.6,Kożuchów,KOZ-02
ZG-050400120,2026-05-04,A,5,24,64,1.3,Zielona Góra,ZG-29
NS-050400121,2026-05-04,A,4,12,48,0.8,Nowa Sól,NS-06
ZG-050400122,2026-05-04,A,1,21,17,2.0,Zielona Góra,ZG-24
ZG-050400123,2026-05-04,B,15,20,28,4.5,Zielona Góra,ZG-01
ZGN-050400124,2026-05-04,C,24,37,3,8.4,Żagań,ZGN-07
ZG-050400125,2026-05-04,B,16,35,47,5.0,Zielona Góra,ZG-39
ZG-050400126,2026-05-04,B,15,35,12,6.5,Zielona Góra,ZG-05
NS-050400127,2026-05-04,C,36,20,25,5.8,Nowa Sól,NS-12
NS-050400128,2026-05-04,A,6,31,64,2.7,Nowa Sól,NS-19
ZGN-050400129,2026-05-04,A,2,11,7,2.8,Żagań,ZGN-04
ZG-050400130,2026-05-04,C,35,23,18,6.9,Zielona Góra,ZG-26
ZG-050400131,2026-05-04,B,14,37,54,6.0,Zielona Góra,ZG-13
SZP-050400132,2026-05-04,A,2,3,4,1.0,Szprotawa,SZP-02
ZG-050400133,2026-05-04,B,16,32,45,4.7,Zielona Góra,ZG-20
ZGN-050400134,2026-05-04,A,8,8,57,0.2,Żagań,ZGN-01
ZAR-050400135,2026-05-04,A,1,21,45,3.4,Żary,ZAR-01
ZAR-050400136,2026-05-04,C,40,16,27,4.0,Żary,ZAR-03
ZGN-050400137,2026-05-04,B,11,1,34,6.4,Żagań,ZGN-07
NS-050400138,2026-05-04,C,24,31,57,9.7,Nowa Sól,NS-08
ZGN-050400139,2026-05-04,A,3,4,53,0.8,Żagań,ZGN-09
ZAR-050400140,2026-05-04,A,1,16,5,0.3,Żary,ZAR-08
ZG-050400141,2026-05-04,B,13,16,29,2.2,Zielona Góra,ZG-13
ZG-050400142,2026-05-04,A,5,6,6,0.6,Zielona Góra,ZG-29
ZG-050400143,2026-05-04,A,8,19,17,2.1,Zielona Góra,ZG-18
ZG-050400144,2026-05-04,A,6,23,41,0.5,Zielona Góra,ZG-32
ZGN-050400145,2026-05-04,A,2,21,14,0.7,Żagań,ZGN-07
ZGN-050400146,2026-05-04,B,12,6,37,4.7,Żagań,ZGN-03
NS-050400147,2026-05-04,B,12,29,22,2.3,Nowa Sól,NS-20
ZG-050400148,2026-05-04,A,6,5,44,0.6,Zielona Góra,ZG-12
ZAR-050400149,2026-05-04,A,6,23,3,1.4,Żary,ZAR-15
ZG-050400150,2026-05-04,A,6,33,43,1.5,Zielona Góra,ZG-39
ZG-050400151,2026-05-04,A,5,15,50,1.5,Zielona Góra,ZG-38
ZG-050400152,2026-05-04,B,17,36,46,8.4,Zielona Góra,ZG-26
ZGN-050400153,2026-05-04,B,14,7,26,2.0,Żagań,ZGN-08
ZAR-050400154,2026-05-04,B,13,25,37,5.1,Żary,ZAR-11
ZGN-050400155,2026-05-04,A,4,16,44,1.0,Żagań,ZGN-07
ZAR-050400156,2026-05-04,A,5,27,18,1.5,Żary,ZAR-10
ZG-050400157,2026-05-04,A,5,17,24,0.3,Zielona Góra,ZG-32
ZG-050400158,2026-05-04,A,4,27,19,0.8,Zielona Góra,ZG-22
ZG-050400159,2026-05-04,B,18,13,8,4.3,Zielona Góra,ZG-26
NS-050400160,2026-05-04,A,4,21,55,0.4,Nowa Sól,NS-09
ZG-050400161,2026-05-04,A,5,5,32,1.1,Zielona Góra,ZG-39
NS-050400162,2026-05-04,A,2,7,60,2.0,Nowa Sól,NS-12
ZG-050400163,2026-05-04,B,13,37,10,3.1,Zielona Góra,ZG-28
NS-050400164,2026-05-04,A,6,38,63,0.8,Nowa Sól,NS-02
NS-050400165,2026-05-04,A,8,21,35,3.2,Nowa Sól,NS-14
ZG-050400166,2026-05-04,A,8,21,36,1.2,Zielona Góra,ZG-39
ZGN-050400167,2026-05-04,B,11,1,46,1.5,Żagań,ZGN-07
ZG-050400168,2026-05-04,A,2,14,55,0.3,Zielona Góra,ZG-28
ZG-050400169,2026-05-04,B,18,12,54,3.3,Zielona Góra,ZG-34
ZG-050400170,2026-05-04,C,27,7,46,8.1,Zielona Góra,ZG-16
NS-050400171,2026-05-04,B,17,24,45,5.3,Nowa Sól,NS-07
ZG-050400172,2026-05-04,B,16,11,26,4.5,Zielona Góra,ZG-36
ZAR-050400173,2026-05-04,A,5,15,3,0.9,Żary,ZAR-09
ZGN-050400174,2026-05-04,A,6,38,2,0.7,Żagań,ZGN-05
NS-050400175,2026-05-04,B,11,35,63,4.6,Nowa Sól,NS-15
ZG-050400176,2026-05-04,C,39,10,18,6.2,Zielona Góra,ZG-35
ZG-050400177,2026-05-04,C,33,8,23,2.5,Zielona Góra,ZG-08
ZG-050400178,2026-05-04,A,5,8,10,0.9,Zielona Góra,ZG-05
ZAR-050400179,2026-05-04,B,9,19,18,2.9,Żary,ZAR-08
ZG-050400180,2026-05-04,A,3,2,33,0.8,Zielona Góra,ZG-20
ZG-050400181,2026-05-04,B,15,11,62,2.2,Zielona Góra,ZG-18
ZGN-050400182,2026-05-04,A,1,23,30,2.0,Żagań,ZGN-04
ZG-050400183,2026-05-04,B,19,37,41,2.1,Zielona Góra,ZG-28
ZAR-050400184,2026-05-04,A,6,25,53,2.3,Żary,ZAR-09
KOZ-050400185,2026-05-04,B,18,11,47,1.7,Kożuchów,KOZ-01
NS-050400186,2026-05-04,B,17,32,64,6.3,Nowa Sól,NS-19
ZGN-050400187,2026-05-04,B,12,12,31,3.3,Żagań,ZGN-01
ZG-050400188,2026-05-04,B,18,17,50,5.0,Zielona Góra,ZG-01
ZAR-050400189,2026-05-04,C,33,3,45,7.3,Żary,ZAR-06
ZAR-050400190,2026-05-04,A,7,1,64,1.0,Żary,ZAR-10
NB-050400191,2026-05-04,A,3,16,60,2.6,Nowogród Bobrzański,NB-05
ZAR-050400192,2026-05-04,A,4,30,3,0.6,Żary,ZAR-11
ZAR-050400193,2026-05-04,A,2,18,59,1.2,Żary,ZAR-10
NS-050400194,2026-05-04,B,16,27,60,2.9,Nowa Sól,NS-14
ZG-050400195,2026-05-04,B,15,16,50,5.0,Zielona Góra,ZG-07
ZG-050400196,2026-05-04,A,6,7,44,2.0,Zielona Góra,ZG-07
ZAR-050400197,2026-05-04,A,7,29,27,0.9,Żary,ZAR-09
SZP-050400198,2026-05-04,B,14,22,26,6.9,Szprotawa,SZP-01
ZAR-050400199,2026-05-04,B,16,18,39,8.9,Żary,ZAR-08
ZAR-050400200,2026-05-04,A,5,21,12,1.1,Żary,ZAR-09
ZAR-050400201,2026-05-04,A,1,27,42,0.5,Żary,ZAR-10
SZP-050400202,2026-05-04,B,19,1,62,2.1,Szprotawa,SZP-03
ZG-050400203,2026-05-04,B,13,11,29,6.0,Zielona Góra,ZG-01
ZG-050400204,2026-05-04,A,1,15,8,1.7,Zielona Góra,ZG-22
ZG-050400205,2026-05-04,A,6,15,44,0.9,Zielona Góra,ZG-06
ZG-050400206,2026-05-04,A,7,8,43,0.1,Zielona Góra,ZG-07
ZGN-050400207,2026-05-04,A,4,4,4,1.3,Żagań,ZGN-04
SZP-050400208,2026-05-04,A,8,2,23,0.3,Szprotawa,SZP-02
ZG-050400209,2026-05-04,B,13,9,36,1.0,Zielona Góra,ZG-16
ZAR-050400210,2026-05-04,C,32,34,3,4.4,Żary,ZAR-07
ZAR-050400211,2026-05-04,A,3,35,49,0.9,Żary,ZAR-13
SZP-050400212,2026-05-04,B,10,17,3,7.7,Szprotawa,SZP-01
ZG-050400213,2026-05-04,A,4,27,58,1.8,Zielona Góra,ZG-20
ZG-050400214,2026-05-04,B,13,33,47,7.5,Zielona Góra,ZG-11
ZG-050400215,2026-05-04,B,16,21,47,4.2,Zielona Góra,ZG-08
ZAR-050400216,2026-05-04,B,16,17,27,5.8,Żary,ZAR-11
ZG-050400217,2026-05-04,B,19,8,35,5.9,Zielona Góra,ZG-36
SZP-050400218,2026-05-04,A,8,2,13,0.3,Szprotawa,SZP-02
NS-050400219,2026-05-04,A,5,32,4,1.4,Nowa Sól,NS-18
ZG-050400220,2026-05-04,A,5,31,43,1.3,Zielona Góra,ZG-24
ZG-050400221,2026-05-04,A,1,3,51,0.6,Zielona Góra,ZG-32
ZG-050400222,2026-05-04,A,3,17,36,0.5,Zielona Góra,ZG-18
ZAR-050400223,2026-05-04,A,7,26,24,3.1,Żary,ZAR-12
ZG-050400224,2026-05-04,C,31,21,53,9.7,Zielona Góra,ZG-02
ZG-050400225,2026-05-04,A,5,20,64,3.8,Zielona Góra,ZG-40
ZG-050400226,2026-05-04,A,6,27,52,0.8,Zielona Góra,ZG-05
ZG-050400227,2026-05-04,A,7,20,64,1.1,Zielona Góra,ZG-14
NS-050400228,2026-05-04,A,6,38,25,0.7,Nowa Sól,NS-02
ZAR-050400229,2026-05-04,A,6,6,13,0.8,Żary,ZAR-12
NB-050400230,2026-05-04,B,19,30,27,7.9,Nowogród Bobrzański,NB-01
ZAR-050400231,2026-05-04,C,40,15,61,6.7,Żary,ZAR-06
ZGN-050400232,2026-05-04,A,4,5,56,2.8,Żagań,ZGN-01
NS-050400233,2026-05-04,C,32,37,7,8.6,Nowa Sól,NS-03
ZG-050400234,2026-05-04,A,4,15,57,1.6,Zielona Góra,ZG-17
ZG-050400235,2026-05-04,C,40,28,23,8.1,Zielona Góra,ZG-30
ZGN-050400236,2026-05-04,A,6,10,19,0.7,Żagań,ZGN-03
ZG-050400237,2026-05-04,A,4,37,22,1.0,Zielona Góra,ZG-14
ZG-050400238,2026-05-04,C,31,17,29,8.1,Zielona Góra,ZG-14
NS-050400239,2026-05-04,A,3,31,51,1.6,Nowa Sól,NS-09
ZG-050400240,2026-05-04,B,15,37,31,5.4,Zielona Góra,ZG-40
ZGN-050400241,2026-05-04,B,10,15,24,2.5,Żagań,ZGN-07
ZG-050400242,2026-05-04,A,6,33,50,1.9,Zielona Góra,ZG-11
ZG-050400243,2026-05-04,A,4,21,47,0.1,Zielona Góra,ZG-37
NS-050400244,2026-05-04,C,23,15,13,6.6,Nowa Sól,NS-01
SZP-050400245,2026-05-04,A,8,7,29,5.1,Szprotawa,SZP-01
ZG-050400246,2026-05-04,A,7,19,1,0.9,Zielona Góra,ZG-32
NS-050400247,2026-05-04,B,16,19,26,8.7,Nowa Sól,NS-11
ZG-050400248,2026-05-04,C,38,19,21,2.2,Zielona Góra,ZG-01
NS-050400249,2026-05-04,B,12,27,47,8.7,Nowa Sól,NS-16
ZG-050400250,2026-05-04,B,17,32,60,7.2,Zielona Góra,ZG-33
ZG-050400251,2026-05-04,A,1,25,21,0.9,Zielona Góra,ZG-24
ZGN-050400252,2026-05-04,A,4,18,14,3.7,Żagań,ZGN-01
NS-050400253,2026-05-04,A,7,13,3,1.5,Nowa Sól,NS-10
NS-050400254,2026-05-04,B,9,32,13,5.4,Nowa Sól,NS-08
ZG-050400255,2026-05-04,A,2,38,54,0.5,Zielona Góra,ZG-29
ZG-050400256,2026-05-04,A,5,25,49,1.3,Zielona Góra,ZG-01
NB-050400257,2026-05-04,A,7,6,16,1.7,Nowogród Bobrzański,NB-04
ZGN-050400258,2026-05-04,B,10,29,25,3.4,Żagań,ZGN-03
ZG-050400259,2026-05-04,A,3,25,25,1.4,Zielona Góra,ZG-08
ZG-050400260,2026-05-04,A,3,34,57,0.8,Zielona Góra,ZG-14
SZP-050400261,2026-05-04,B,19,5,4,6.7,Szprotawa,SZP-02
ZG-050400262,2026-05-04,A,1,30,59,0.9,Zielona Góra,ZG-11
ZG-050400263,2026-05-04,B,13,17,15,5.2,Zielona Góra,ZG-04
NS-050400264,2026-05-04,A,4,12,32,1.8,Nowa Sól,NS-18
ZG-050400265,2026-05-04,A,8,33,16,1.9,Zielona Góra,ZG-23
ZAR-050400266,2026-05-04,B,9,29,28,6.8,Żary,ZAR-04
ZG-050400267,2026-05-04,B,14,22,15,5.1,Zielona Góra,ZG-40
ZGN-050400268,2026-05-04,B,18,11,56,6.6,Żagań,ZGN-10
SZP-050400269,2026-05-04,B,17,16,60,4.8,Szprotawa,SZP-02
ZGN-050400270,2026-05-04,B,15,28,60,3.2,Żagań,ZGN-04
ZG-050400271,2026-05-04,A,4,15,26,0.8,Zielona Góra,ZG-38
ZG-050400272,2026-05-04,A,5,8,14,1.4,Zielona Góra,ZG-14
NS-050400273,2026-05-04,A,3,8,26,1.4,Nowa Sól,NS-19
ZG-050400274,2026-05-04,B,15,16,56,4.9,Zielona Góra,ZG-12
ZG-050400275,2026-05-04,A,1,20,23,0.4,Zielona Góra,ZG-15
ZG-050400276,2026-05-04,A,6,34,29,1.3,Zielona Góra,ZG-32
KOZ-050400277,2026-05-04,B,15,38,50,3.3,Kożuchów,KOZ-02
ZG-050400278,2026-05-04,C,25,12,19,3.7,Zielona Góra,ZG-15
NS-050400279,2026-05-04,A,7,24,64,2.6,Nowa Sól,NS-09
ZG-050400280,2026-05-04,A,8,14,30,1.8,Zielona Góra,ZG-09
ZG-050400281,2026-05-04,A,6,11,48,1.3,Zielona Góra,ZG-05
ZAR-050400282,2026-05-04,A,2,22,25,4.2,Żary,ZAR-12
ZG-050400283,2026-05-04,A,6,28,5,0.4,Zielona Góra,ZG-02
ZG-050400284,2026-05-04,B,17,13,57,5.3,Zielona Góra,ZG-30
ZG-050400285,2026-05-04,C,30,13,26,8.5,Zielona Góra,ZG-11
ZG-050400286,2026-05-04,A,6,3,9,2.0,Zielona Góra,ZG-21
ZAR-050400287,2026-05-04,B,9,21,58,1.9,Żary,ZAR-14
ZAR-050400288,2026-05-04,C,23,18,47,8.1,Żary,ZAR-09
ZG-050400289,2026-05-04,A,2,9,17,1.5,Zielona Góra,ZG-07
NS-050400290,2026-05-04,A,6,15,51,1.0,Nowa Sól,NS-05
ZG-050400291,2026-05-04,A,2,21,36,0.2,Zielona Góra,ZG-32
ZAR-050400292,2026-05-04,B,9,18,19,3.7,Żary,ZAR-02
NS-050400293,2026-05-04,B,18,33,37,4.1,Nowa Sól,NS-18
ZG-050400294,2026-05-04,B,9,31,1,1.0,Zielona Góra,ZG-19
ZGN-050400295,2026-05-04,B,14,30,45,5.5,Żagań,ZGN-05
ZGN-050400296,2026-05-04,A,3,16,8,0.4,Żagań,ZGN-02
ZGN-050400297,2026-05-04,B,19,11,36,7.4,Żagań,ZGN-03
NS-050400298,2026-05-04,B,14,4,1,4.5,Nowa Sól,NS-17
ZG-050400299,2026-05-04,B,12,12,16,2.3,Zielona Góra,ZG-32
ZG-050400300,2026-05-04,C,24,32,47,6.2,Zielona Góra,ZG-32
ZGN-050400301,2026-05-04,A,7,15,47,2.3,Żagań,ZGN-08
ZGN-050400302,2026-05-04,A,4,9,11,1.4,Żagań,ZGN-06
ZG-050400303,2026-05-04,A,6,34,37,0.3,Zielona Góra,ZG-25
ZG-050400304,2026-05-04,A,1,27,46,0.1,Zielona Góra,ZG-21
KOZ-050400305,2026-05-04,B,14,10,59,9.5,Kożuchów,KOZ-01
NS-050400306,2026-05-04,A,8,16,26,0.1,Nowa Sól,NS-13
NB-050400307,2026-05-04,C,25,32,31,6.1,Nowogród Bobrzański,NB-05
ZG-050400308,2026-05-04,A,5,14,43,3.0,Zielona Góra,ZG-29
ZG-050400309,2026-05-04,B,14,18,60,6.4,Zielona Góra,ZG-04
ZG-050400310,2026-05-04,A,7,7,45,0.1,Zielona Góra,ZG-15
ZAR-050400311,2026-05-04,B,17,6,31,6.5,Żary,ZAR-10
ZGN-050400312,2026-05-04,B,13,31,11,3.3,Żagań,ZGN-06
ZGN-050400313,2026-05-04,A,7,23,25,0.1,Żagań,ZGN-08
NS-050400314,2026-05-04,A,8,5,45,3.0,Nowa Sól,NS-09
ZG-050400315,2026-05-04,A,3,7,30,0.4,Zielona Góra,ZG-07
ZG-050400316,2026-05-04,C,21,29,8,7.0,Zielona Góra,ZG-32
ZGN-050400317,2026-05-04,B,13,21,40,6.8,Żagań,ZGN-09
ZG-050400318,2026-05-04,B,13,10,35,2.3,Zielona Góra,ZG-23
ZG-050400319,2026-05-04,A,2,16,42,0.3,Zielona Góra,ZG-29
ZAR-050400320,2026-05-04,B,12,19,15,2.9,Żary,ZAR-12
SZP-050400321,2026-05-04,A,4,38,54,1.7,Szprotawa,SZP-01
ZG-050400322,2026-05-04,B,17,23,23,2.5,Zielona Góra,ZG-27
ZG-050400323,2026-05-04,C,41,3,21,6.6,Zielona Góra,ZG-40
ZG-050400324,2026-05-04,A,6,34,36,0.3,Zielona Góra,ZG-27
ZG-050400325,2026-05-04,B,12,9,64,5.1,Zielona Góra,ZG-40
ZG-050400326,2026-05-04,A,4,4,62,1.0,Zielona Góra,ZG-03
ZG-050400327,2026-05-04,A,4,14,38,1.4,Zielona Góra,ZG-07
ZG-050400328,2026-05-04,B,19,15,49,6.9,Zielona Góra,ZG-24
ZG-050400329,2026-05-04,B,14,32,21,5.1,Zielona Góra,ZG-14
ZG-050400330,2026-05-04,A,6,35,2,0.9,Zielona Góra,ZG-18
ZAR-050400331,2026-05-04,A,6,14,20,0.8,Żary,ZAR-10
ZG-050400332,2026-05-04,A,4,8,60,2.2,Zielona Góra,ZG-17
ZG-050400333,2026-05-04,C,29,36,3,7.9,Zielona Góra,ZG-37
ZG-050400334,2026-05-04,A,6,14,12,1.5,Zielona Góra,ZG-31
SZP-050400335,2026-05-04,A,6,11,45,0.6,Szprotawa,SZP-04
ZAR-050400336,2026-05-04,A,8,7,12,0.3,Żary,ZAR-13
ZGN-050400337,2026-05-04,A,2,29,30,2.1,Żagań,ZGN-04
ZG-050400338,2026-05-04,B,18,38,4,4.5,Zielona Góra,ZG-14
ZG-050400339,2026-05-04,A,3,28,48,0.1,Zielona Góra,ZG-39
ZG-050400340,2026-05-04,B,18,37,41,1.3,Zielona Góra,ZG-05
ZG-050400341,2026-05-04,B,18,21,6,2.3,Zielona Góra,ZG-21
ZG-050400342,2026-05-04,A,6,30,40,0.8,Zielona Góra,ZG-23
NS-050400343,2026-05-04,C,38,37,27,7.9,Nowa Sól,NS-10
